Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcération végé- tante,0.759,0.802,0.781,,,CN_000046_018_texte.txt,CY_000103_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnostic d' épilepsie,0.775,0.788,0.781,,,CN_000067_009_texte.txt,CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénérescences cellulaires,0.789,0.773,0.781,,,CN_000064_006_texte.txt, CN_000066_008_texte.txt,CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentative d' assassinat,0.776,0.786,0.781,,,CN_000029_001_texte.txt, CN_000032_004_texte.txt, CN_000051_023_texte.txt, CN_000061_003_texte.txt, CN_000062_004_texte.txt, CN_000066_008_texte.txt, CN_000068_010_texte.txt, CN_000075_017_texte.txt,CH_00000084_texte.txt, CY_000112_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' agoraphobie,0.768,0.794,0.781,,,CN_000039_011_texte.txt,CH_00000084_texte.txt, CH_00000097_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations du parenchyme,0.78,0.782,0.781,,,CL_000001_007_texte.txt, CN_000075_017_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' infiltration,0.777,0.785,0.781,,,CN_000059_001_texte.txt,CS_000014_014_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exacerbation des phénomènes,0.797,0.765,0.781,,,CN_000082_002_texte.txt,CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
empire d' hallucinations,0.752,0.81,0.781,,,CL_000004_001_texte.txt, CN_000042_014_texte.txt, CN_000047_019_texte.txt,CS_000007_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymétrie des circonvolutions,0.77,0.792,0.781,,,CN_000033_005_texte.txt,CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymétrie notable,0.761,0.801,0.781,,,CN_000053_025_texte.txt, CN_000061_003_texte.txt,CS_000021_021_texte.txt, CS_000023_023_texte.txt, CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crises d' hystérie,0.779,0.783,0.781,,,CL_000005_001_texte.txt, CL_000005_002_texte.txt, CL_000009_002_texte.txt, CN_000029_001_texte.txt, CN_000042_014_texte.txt, CN_000049_021_texte.txt, CN_000054_026_texte.txt, CN_000062_004_texte.txt, CN_000065_007_texte.txt, CN_000067_009_texte.txt, CN_000070_012_texte.txt, CN_000073_015_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt, CH_00000080_texte.txt, CH_00000081_texte.txt, CH_00000084_texte.txt, CH_00000086_texte.txt, CH_00000088_texte.txt, CH_00000089_texte.txt, CH_00000090_texte.txt, CH_00000092_texte.txt, CH_00000095_texte.txt, CH_00000096_texte.txt, CH_00000098_texte.txt, CH_00000099_texte.txt, CO_000093_011_texte.txt, CS_000003_003_texte.txt, CS_000005_005_texte.txt, CS_000008_008_texte.txt, CS_000015_015_texte.txt, CS_000016_016_texte.txt, CS_000017_017_texte.txt, CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
approbation de m.,0.776,0.786,0.781,,,CN_000029_001_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents névropathiques,0.784,0.778,0.781,,,CN_000038_010_texte.txt, CN_000054_026_texte.txt, CN_000058_030_texte.txt, CN_000059_001_texte.txt, CN_000062_004_texte.txt, CN_000064_006_texte.txt, CN_000079_021_texte.txt,CH_00000086_texte.txt, CS_000005_005_texte.txt, CS_000008_008_texte.txt, CY_000104_010_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symptôme d' hystérie,0.785,0.777,0.781,,,CN_000053_025_texte.txt, CN_000062_004_texte.txt, CN_000063_005_texte.txt, CN_000065_007_texte.txt, CN_000076_018_texte.txt,CH_00000081_texte.txt, CH_00000082_texte.txt, CH_00000083_texte.txt, CH_00000088_texte.txt, CH_00000096_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
épilepsie avec accès,0.762,0.8,0.781,,,CN_000065_007_texte.txt, CN_000075_017_texte.txt, CN_000082_002_texte.txt,CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convulsions épileptiformes,0.77,0.791,0.781,,,CL_000001_004_texte.txt, CL_000001_007_texte.txt, CN_000031_003_texte.txt, CN_000033_005_texte.txt, CN_000035_007_texte.txt, CN_000039_011_texte.txt, CN_000044_016_texte.txt, CN_000046_018_texte.txt, CN_000052_024_texte.txt, CN_000054_026_texte.txt, CN_000055_027_texte.txt, CN_000060_002_texte.txt, CN_000063_005_texte.txt,CO_000093_011_texte.txt, CS_000004_004_texte.txt, CS_000020_020_texte.txt, CS_000026_026_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muséum d' histoire,0.793,0.769,0.781,,,CN_000038_010_texte.txt, CN_000072_014_texte.txt,CY_000106_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mort par inanition,0.77,0.792,0.781,,,CN_000072_014_texte.txt,CH_00000094_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypothèse d' hystérie,0.778,0.784,0.781,,,CL_000001_009_texte.txt, CL_000005_001_texte.txt, CN_000040_012_texte.txt, CN_000042_014_texte.txt, CN_000045_017_texte.txt, CN_000052_024_texte.txt, CN_000053_025_texte.txt,CO_000090_008_texte.txt, CO_000091_009_texte.txt, CO_000093_011_texte.txt, CS_000004_004_texte.txt, CS_000020_020_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hospice des aliénés,0.787,0.775,0.781,,,CN_000035_007_texte.txt, CN_000051_023_texte.txt, CN_000052_024_texte.txt, CN_000060_002_texte.txt, CN_000067_009_texte.txt, CN_000072_014_texte.txt, CN_000081_001_texte.txt,CS_000020_020_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' hypoesthésie,0.787,0.775,0.781,,,CL_000005_001_texte.txt,CO_000093_011_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accès d' asphyxie,0.769,0.792,0.781,,,CN_000078_020_texte.txt,CS_000005_005_texte.txt, CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cécité par atrophie,0.78,0.78,0.78,,,CN_000077_019_texte.txt,CS_000018_018_texte.txt, CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assertions de m.,0.777,0.783,0.78,,,CN_000037_009_texte.txt, CN_000044_016_texte.txt,CY_000106_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crise d' épilepsie,0.776,0.784,0.78,,,CN_000061_003_texte.txt, CN_000064_006_texte.txt, CN_000066_008_texte.txt, CN_000067_009_texte.txt, CN_000070_012_texte.txt, CN_000072_014_texte.txt, CN_000073_015_texte.txt, CN_000081_001_texte.txt,CO_000093_011_texte.txt, CS_000008_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentatives d' évasion,0.778,0.781,0.78,,,CN_000041_013_texte.txt, CN_000050_022_texte.txt, CN_000068_010_texte.txt, CN_000071_013_texte.txt,CY_000106_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
centigrammes d' extrait,0.788,0.772,0.78,,,CN_000032_004_texte.txt, CN_000037_009_texte.txt,CH_00000095_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' agénésie,0.787,0.772,0.78,,,CN_000072_014_texte.txt, CN_000082_002_texte.txt,CO_000089_007_texte.txt, CS_000023_023_texte.txt, CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imbécillité avec perversion,0.789,0.771,0.78,,,CN_000037_009_texte.txt,CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ouvrage de m.,0.779,0.781,0.78,,,CL_000001_001_texte.txt, CL_000001_004_texte.txt, CL_000001_005_texte.txt, CL_000001_007_texte.txt, CL_000001_008_texte.txt, CL_000001_009_texte.txt, CN_000030_002_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000050_022_texte.txt, CN_000051_023_texte.txt, CN_000052_024_texte.txt, CN_000059_001_texte.txt, CN_000063_005_texte.txt, CN_000064_006_texte.txt, CN_000069_011_texte.txt, CN_000070_012_texte.txt, CN_000071_013_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt, CH_00000079_texte.txt, CH_00000081_texte.txt, CH_00000087_texte.txt, CH_00000091_texte.txt, CH_00000092_texte.txt, CH_00000094_texte.txt, CH_00000099_texte.txt, CL_000007_001_texte.txt, CS_000005_005_texte.txt, CS_000007_007_texte.txt, CS_000013_013_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hystérie mono-symptomatique,0.778,0.783,0.78,,,CN_000062_004_texte.txt,CH_00000080_texte.txt, CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perversion des instincts,0.786,0.773,0.78,,,CN_000038_010_texte.txt, CN_000059_001_texte.txt, CN_000062_004_texte.txt, CN_000067_009_texte.txt, CN_000079_021_texte.txt,CO_000093_011_texte.txt, CY_000097_003_texte.txt, CY_000099_005_texte.txt, CY_000101_007_texte.txt, CY_000102_008_texte.txt, CY_000106_012_texte.txt, CY_000109_015_texte.txt, CY_000110_016_texte.txt, CY_000111_017_texte.txt, CY_000112_018_texte.txt, CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hémiplégies,0.775,0.784,0.78,,,CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000078_020_texte.txt,CO_000089_007_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asiles d' alcooliques,0.772,0.787,0.78,,,CN_000057_029_texte.txt, CN_000060_002_texte.txt,CY_000109_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amplitude des mouve- ments,0.77,0.791,0.78,,,CN_000029_001_texte.txt, CN_000069_011_texte.txt,CO_000093_011_texte.txt, CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' ataxie,0.78,0.78,0.78,,,CN_000060_002_texte.txt, CN_000074_016_texte.txt,CS_000018_018_texte.txt, CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents héréditaires nerveux,0.784,0.775,0.78,,,CN_000031_003_texte.txt,CH_00000095_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observations d' hystérie,0.777,0.783,0.78,,,CL_000004_001_texte.txt, CL_000005_002_texte.txt, CN_000036_008_texte.txt, CN_000051_023_texte.txt, CN_000052_024_texte.txt,CS_000004_004_texte.txt, CS_000005_005_texte.txt, CY_000106_012_texte.txt, CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigmates de syphilis,0.784,0.775,0.78,,,CN_000073_015_texte.txt,CS_000008_008_texte.txt, CS_000018_018_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imbécillité congénitale,0.782,0.777,0.78,,,CN_000033_005_texte.txt, CN_000038_010_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt, CN_000070_012_texte.txt, CN_000074_016_texte.txt,CO_000093_011_texte.txt, CS_000024_024_texte.txt, CY_000117_023_texte.txt, CY_000118_024_texte.txt, CY_000119_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénéres- cence descendante,0.794,0.765,0.78,,,CN_000033_005_texte.txt, CN_000050_022_texte.txt, CN_000074_016_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations considérables,0.783,0.774,0.779,,,CN_000034_006_texte.txt, CN_000047_019_texte.txt, CN_000069_011_texte.txt, CN_000070_012_texte.txt,CS_000006_006_texte.txt, CS_000015_015_texte.txt, CS_000017_017_texte.txt, CS_000019_019_texte.txt, CS_000020_020_texte.txt, CS_000021_021_texte.txt, CS_000023_023_texte.txt, CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' acrocéphalie,0.771,0.787,0.779,,,CN_000038_010_texte.txt, CN_000044_016_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hérédité du malade,0.78,0.778,0.779,,,CN_000060_002_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' achondroplasie,0.782,0.777,0.779,,,CN_000069_011_texte.txt, CN_000071_013_texte.txt, CN_000080_022_texte.txt,CS_000018_018_texte.txt, CS_000020_020_texte.txt, CS_000022_022_texte.txt, CS_000023_023_texte.txt, CS_000024_024_texte.txt, CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paroxysme épileptique,0.768,0.79,0.779,,,CN_000062_004_texte.txt, CN_000082_002_texte.txt,CS_000001_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hystérie mâle,0.784,0.775,0.779,,,CL_000005_001_texte.txt, CN_000047_019_texte.txt, CN_000049_021_texte.txt, CN_000050_022_texte.txt,CH_00000079_texte.txt, CS_000002_002_texte.txt, CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
absence d' altérations,0.78,0.777,0.779,,,CL_000001_002_texte.txt, CN_000055_027_texte.txt, CN_000063_005_texte.txt, CN_000070_012_texte.txt,CO_000090_008_texte.txt, CS_000014_014_texte.txt, CS_000015_015_texte.txt, CS_000024_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégéné- rescences,0.779,0.779,0.779,,,CN_000061_003_texte.txt,CO_000088_006_texte.txt, CO_000089_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caractère d' irrésistibilité,0.734,0.823,0.779,,,CN_000062_004_texte.txt,CH_00000095_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diapédèse de leucocytes,0.787,0.771,0.779,,,CN_000058_030_texte.txt,CS_000008_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crises d' asphyxie,0.785,0.773,0.779,,,CN_000057_029_texte.txt, CN_000079_021_texte.txt,CH_00000094_texte.txt, CH_00000099_texte.txt, CS_000023_023_texte.txt, CS_000026_026_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' athétose,0.795,0.762,0.779,,,CN_000033_005_texte.txt, CN_000042_014_texte.txt, CO_000092_010_texte.txt,CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissure interhémisphérique,0.773,0.784,0.779,,,CN_000040_012_texte.txt, CN_000042_014_texte.txt,CO_000088_006_texte.txt, CO_000089_007_texte.txt, CS_000015_015_texte.txt, CY_000101_007_texte.txt, CY_000102_008_texte.txt, CY_000112_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amabilité de m.,0.776,0.781,0.779,,,CN_000081_001_texte.txt,CS_000008_008_texte.txt, CS_000014_014_texte.txt, CS_000015_015_texte.txt, CS_000018_018_texte.txt, CS_000021_021_texte.txt, CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asiles publics,0.772,0.785,0.779,,,CN_000030_002_texte.txt, CN_000035_007_texte.txt, CN_000041_013_texte.txt, CN_000042_014_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000048_020_texte.txt, CN_000056_028_texte.txt, CN_000062_004_texte.txt, CN_000067_009_texte.txt, CN_000074_016_texte.txt, CN_000077_019_texte.txt, CN_000078_020_texte.txt, CN_000079_021_texte.txt,CY_000100_006_texte.txt, CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circonvolution d' enceinte,0.809,0.749,0.779,,,CN_000029_001_texte.txt,CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exagération des réflexes,0.78,0.778,0.779,,,CL_000001_003_texte.txt, CL_000001_004_texte.txt, CL_000001_009_texte.txt, CL_000004_001_texte.txt, CL_000005_001_texte.txt, CN_000029_001_texte.txt, CN_000030_002_texte.txt, CN_000031_003_texte.txt, CN_000032_004_texte.txt, CN_000034_006_texte.txt, CN_000035_007_texte.txt, CN_000036_008_texte.txt, CN_000037_009_texte.txt, CN_000038_010_texte.txt, CN_000039_011_texte.txt, CN_000040_012_texte.txt, CN_000042_014_texte.txt, CN_000043_015_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000046_018_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt, CN_000050_022_texte.txt, CN_000051_023_texte.txt, CN_000052_024_texte.txt, CN_000053_025_texte.txt, CN_000054_026_texte.txt, CN_000056_028_texte.txt, CN_000057_029_texte.txt, CN_000058_030_texte.txt, CN_000059_001_texte.txt, CN_000060_002_texte.txt, CN_000061_003_texte.txt, CN_000062_004_texte.txt, CN_000063_005_texte.txt, CN_000064_006_texte.txt, CN_000065_007_texte.txt, CN_000066_008_texte.txt, CN_000067_009_texte.txt, CN_000068_010_texte.txt, CN_000069_011_texte.txt, CN_000070_012_texte.txt, CN_000071_013_texte.txt, CN_000072_014_texte.txt, CN_000073_015_texte.txt, CN_000074_016_texte.txt, CN_000075_017_texte.txt, CN_000076_018_texte.txt, CN_000077_019_texte.txt, CN_000078_020_texte.txt, CN_000079_021_texte.txt, CN_000080_022_texte.txt, CN_000081_001_texte.txt, CN_000082_002_texte.txt,CH_00000083_texte.txt, CH_00000090_texte.txt, CH_00000092_texte.txt, CH_00000095_texte.txt, CH_00000100_texte.txt, CO_000090_008_texte.txt, CO_000091_009_texte.txt, CO_000093_011_texte.txt, CS_000001_001_texte.txt, CS_000002_002_texte.txt, CS_000003_003_texte.txt, CS_000004_004_texte.txt, CS_000005_005_texte.txt, CS_000006_006_texte.txt, CS_000009_009_texte.txt, CS_000010_010_texte.txt, CS_000011_011_texte.txt, CS_000012_012_texte.txt, CS_000013_013_texte.txt, CS_000014_014_texte.txt, CS_000015_015_texte.txt, CS_000016_016_texte.txt, CS_000017_017_texte.txt, CS_000018_018_texte.txt, CS_000019_019_texte.txt, CS_000020_020_texte.txt, CS_000021_021_texte.txt, CS_000022_022_texte.txt, CS_000023_023_texte.txt, CS_000024_024_texte.txt, CS_000025_025_texte.txt, CS_000026_026_texte.txt, CS_000027_027_texte.txt, CS_000028_028_texte.txt, CY_000097_003_texte.txt, CY_000098_004_texte.txt, CY_000099_005_texte.txt, CY_000102_008_texte.txt, CY_000105_011_texte.txt, CY_000106_012_texte.txt, CY_000107_013_texte.txt, CY_000115_021_texte.txt,,,,
ans d' hémorrhagies,0.764,0.794,0.779,,,CN_000035_007_texte.txt,CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' empoisonnement,0.77,0.787,0.779,,,CN_000069_011_texte.txt, CN_000082_002_texte.txt,CS_000009_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
